accx,accy,accz,gyrox,gyroy,gyroz
-5.08,-6.64,-1.90,-0.20,0.07,0.22
-5.42,-7.24,-1.89,-0.12,0.31,0.27
-6.42,-6.71,-2.01,-0.35,0.14,0.15
-6.74,-8.95,-2.05,-0.23,0.15,0.71
-8.21,-5.21,-2.92,-0.56,0.09,0.35
-4.89,-6.36,-1.67,-0.11,0.42,0.43
-3.74,-5.11,-1.92,-0.48,0.41,0.50
-2.01,-5.95,-1.76,-0.83,0.54,0.18
-4.69,-2.50,-4.00,-1.42,-0.04,0.02
-5.99,0.04,-3.11,-0.28,-0.05,0.80
5.12,-6.32,-2.16,2.02,-0.12,1.64
-5.99,-1.19,-3.99,-2.75,0.48,-2.03
-13.46,-3.17,-4.58,1.79,0.08,2.08
-2.14,-15.24,-2.04,0.50,1.09,1.57
-32.18,-9.23,-6.89,-1.79,2.58,1.79
-4.69,-23.26,-1.74,3.42,2.77,3.89
-7.23,-0.43,-4.19,-3.76,0.12,0.56
-12.95,-27.75,-38.83,-3.06,-2.50,4.37
3.94,37.11,-3.73,-0.78,3.46,2.71
10.64,-6.12,-3.46,-1.60,4.37,-1.80
-10.33,14.05,-9.23,-4.37,-2.27,-1.34
-17.42,38.38,7.97,-1.33,-4.37,-0.72
11.06,8.14,16.79,4.37,4.37,3.78
-3.11,-23.27,-10.83,-4.37,-1.52,-1.89
-0.50,13.80,-10.24,-1.28,-1.83,0.08
8.08,1.90,-7.67,2.37,2.01,1.28
1.31,0.03,-8.88,-1.46,-0.83,-1.19
0.85,10.86,-10.28,0.68,0.53,-0.37
2.89,-4.04,-8.76,1.61,0.48,0.76
-0.14,2.40,-10.77,-1.46,-0.56,-0.84
-3.06,0.28,-11.22,-0.72,-1.23,-0.59
1.72,6.64,-9.35,0.34,-0.03,-0.29
-0.41,3.80,-10.41,-0.39,0.03,-0.60
-1.54,2.35,-8.35,1.51,-1.66,1.05
5.87,6.74,-8.73,-0.47,-0.80,-0.45
-0.15,5.53,-10.18,0.53,-0.07,-0.15
0.26,-0.60,-11.56,0.71,-0.57,-0.30
-3.66,2.11,-12.83,-0.42,-1.70,-0.18
-4.46,6.85,-11.01,0.28,-0.31,-0.54
4.75,4.67,-9.86,0.57,1.16,-0.80
-9.57,-4.23,-10.24,1.11,-2.14,0.00
-2.37,1.11,-8.09,-0.08,-0.38,-1.14
-2.31,-1.48,-8.84,1.11,-1.20,0.68
-7.44,-0.15,-8.33,0.38,-0.86,-0.39
-6.11,-5.12,-8.94,0.68,0.82,0.02
-3.34,-0.48,-9.91,-0.51,0.35,-0.44
-4.97,-2.07,-9.70,0.77,0.11,0.14
-3.70,-0.90,-10.29,0.13,-0.62,-0.34
-3.54,-0.25,-8.86,0.53,0.12,0.17
-5.18,-1.08,-10.64,-0.09,0.26,0.02
-8.89,-0.87,-9.29,-1.16,-0.23,-0.25
-4.64,7.59,-9.02,0.96,1.63,0.86
-0.15,-4.53,-7.91,1.57,0.11,0.42
-4.04,-0.01,-9.04,0.97,-1.02,0.11
-4.49,-6.25,-8.73,0.58,-1.14,-0.25
-3.71,-0.69,-9.33,0.29,-0.61,-0.39
-5.64,-0.54,-10.23,-0.54,-0.58,-0.68
