accx,accy,accz,gyrox,gyroy,gyroz
-1.41,-6.09,-8.70,-0.10,0.17,0.23
-0.89,-7.01,-8.17,-0.41,-0.02,0.43
-0.47,-6.85,-8.37,-1.42,-0.08,0.56
-1.65,-2.22,-9.76,-1.37,-0.69,0.30
-3.40,-4.74,-10.41,-0.42,0.29,0.55
-2.07,-7.21,-10.88,-0.31,-0.27,0.72
-1.35,-2.07,-12.47,-1.08,-0.78,-0.54
-9.50,-4.14,-12.07,1.71,-0.27,-0.28
-1.67,-3.10,-12.21,2.09,0.03,-1.27
-2.22,-1.66,-6.80,3.94,-1.16,-1.60
-1.71,2.09,-1.17,4.37,-0.81,-3.09
-0.27,-3.59,-0.26,4.37,0.99,-2.92
-0.83,-3.83,3.12,4.37,-0.19,-3.02
-3.25,-1.73,1.33,2.73,0.17,-4.37
3.69,-5.62,3.32,2.93,0.89,-3.04
1.40,-11.00,1.50,-0.47,0.19,-2.36
-0.67,-8.58,5.18,-4.37,-2.75,-1.86
-10.19,5.67,2.79,-4.37,-2.24,-2.53
1.91,4.13,-5.47,0.63,3.50,-3.44
16.47,-19.33,-12.19,0.55,2.91,-2.13
27.79,-31.81,14.26,-0.43,-4.37,4.37
-6.79,2.22,16.61,-4.37,-4.37,1.81
9.97,78.45,27.13,-4.37,4.37,-4.37
12.93,-34.08,55.78,4.37,4.37,4.37
7.97,19.63,45.16,-4.37,2.84,-4.37
-13.85,4.63,1.80,4.37,4.37,-4.37
-0.80,-15.28,19.44,4.37,4.37,2.08
9.97,-2.13,22.53,3.91,4.37,-2.29
10.67,11.10,20.16,0.30,-4.37,-4.16
5.37,-1.63,7.20,0.05,-3.32,0.55
4.53,-3.35,8.83,-0.71,-1.84,-0.35
6.09,-1.69,6.77,0.63,-1.73,0.95
8.22,-7.97,3.59,0.10,2.89,-0.48
17.26,19.28,3.21,-4.26,1.00,-2.32
2.50,-5.83,3.03,-3.80,-0.38,-4.37
4.49,-0.69,6.88,1.90,2.18,0.54
2.46,1.35,10.49,3.21,3.18,2.12
1.17,-8.33,10.61,2.19,3.96,-1.99
3.30,1.04,13.38,-0.44,4.37,1.23
0.72,6.36,4.75,1.94,0.62,1.15
5.90,-2.32,5.46,1.40,1.94,1.15
2.52,11.03,9.18,-3.00,0.62,1.24
-6.03,1.95,5.88,1.21,0.17,0.14
4.27,0.55,10.51,2.00,0.54,1.36
5.19,-0.52,10.50,-1.28,0.06,1.14
3.00,11.72,9.80,-1.16,-1.50,0.16
-3.39,-0.22,7.56,0.32,0.25,0.07
3.43,4.15,9.58,0.65,0.40,0.94
2.56,1.94,8.52,-0.24,0.12,-0.39
0.54,2.71,8.35,-0.32,-0.47,-1.02
1.65,4.28,7.38,-0.33,-0.14,-0.93
0.94,3.59,8.55,0.36,-0.73,-0.42
0.81,2.90,8.14,0.17,0.14,-0.28
-0.41,2.07,8.53,0.44,0.67,0.61
-0.01,2.66,8.09,0.61,1.47,1.04
2.30,1.43,8.71,0.25,1.35,1.51
1.57,3.41,7.99,-0.79,0.35,0.86
