accx,accy,accz,gyrox,gyroy,gyroz
-8.94,-3.97,-1.96,0.00,-0.04,0.01
-9.49,-2.43,-2.23,-0.02,-0.02,0.05
-8.77,-3.75,-1.95,0.24,0.15,0.08
-8.18,-3.15,-2.30,-0.15,-0.06,-0.09
-9.36,-2.69,-2.35,0.13,0.02,0.06
-7.13,-2.55,-3.13,0.17,0.15,0.01
-8.38,-2.21,-2.97,0.44,-0.10,0.13
-6.17,-1.75,-2.84,0.56,0.20,0.11
-6.17,-3.35,-3.05,0.62,-0.03,0.21
-8.73,-4.78,-2.71,0.08,-0.98,-0.06
-9.24,0.94,-2.91,0.64,0.02,0.17
-6.40,-4.08,-1.19,0.97,-0.23,0.52
-8.12,-1.98,-2.59,0.51,-0.03,0.20
-7.61,-1.98,-2.17,0.67,-0.03,0.38
-7.83,-0.54,-3.24,0.77,-0.32,0.83
-9.49,-3.52,-1.91,1.02,-0.12,0.38
-4.16,2.67,-2.94,1.23,0.89,0.87
-8.06,-10.99,0.43,1.05,0.45,0.83
1.64,1.62,-3.71,-1.04,0.97,0.73
-4.71,-8.16,1.00,-2.06,-0.86,-0.83
8.29,18.63,-3.59,-3.94,2.67,-4.08
3.53,14.66,20.09,4.37,-4.37,1.12
-48.92,-4.02,6.96,-3.46,2.60,-4.37
-40.28,-18.84,35.39,4.37,-4.37,1.83
38.63,40.63,18.82,-4.37,2.72,-1.48
-38.61,-40.18,11.08,4.37,4.37,3.46
10.80,8.64,13.20,-2.79,-1.62,-1.86
-25.31,-14.09,1.74,-0.64,-0.20,0.80
-0.24,16.17,8.37,-0.78,-0.79,-0.90
-11.38,-6.16,6.05,-2.69,3.77,-0.57
-15.27,18.21,15.52,-2.03,-4.37,1.16
-15.73,-0.96,6.74,4.37,4.37,-0.26
6.06,-33.27,-0.73,-0.13,-4.37,4.37
-28.13,3.53,-0.37,-4.37,-3.73,-4.37
-14.52,0.60,5.04,4.37,1.15,4.37
3.12,-3.86,11.28,0.86,2.07,1.30
-6.75,3.11,6.34,-3.41,-2.03,-2.01
-16.12,6.58,-0.22,1.05,1.38,0.22
-8.00,-6.83,1.38,1.01,2.83,-0.50
-6.54,-6.20,1.13,-0.05,-0.65,1.41
-8.40,4.59,-0.87,-2.32,-0.29,-0.58
-13.20,-2.54,-0.00,-0.15,0.89,0.69
-10.16,-4.00,0.22,-0.32,-0.36,1.18
-6.90,5.11,-0.01,-0.21,-0.28,0.11
-7.73,-1.78,2.34,0.01,0.36,0.81
-12.87,2.81,4.32,-1.03,-1.41,0.91
-9.60,8.80,1.86,-0.24,1.33,-1.27
-8.35,-3.67,3.97,1.26,0.50,0.96
-3.04,6.56,2.84,-0.58,-0.58,-0.52
-10.68,-0.89,1.57,-0.05,0.85,0.52
-9.32,3.16,4.48,-0.34,-2.02,0.84
-6.03,5.46,1.86,-0.20,0.98,-0.19
-11.81,-2.25,2.31,0.26,-0.22,1.21
-5.71,6.74,4.24,-1.25,-0.46,-0.69
-11.89,-0.04,1.06,0.47,2.10,-0.05
-8.84,1.30,2.22,-0.96,-1.16,-0.20
-10.01,2.52,3.40,0.84,-0.31,1.19
