accx,accy,accz,gyrox,gyroy,gyroz
-8.09,-2.10,-5.66,0.01,-0.21,0.14
-8.26,-3.74,-5.69,1.05,0.75,0.35
-6.44,-6.90,-5.59,0.38,0.25,0.21
-7.65,-3.49,-5.91,-0.17,-0.17,-0.19
-5.75,-6.52,-5.16,-0.28,-0.37,0.09
-8.22,-2.22,-6.08,-0.18,-0.17,-0.15
-6.74,-5.39,-5.35,0.35,0.31,0.16
-5.74,-3.73,-6.56,-0.23,-0.01,0.00
-8.12,-3.57,-5.69,0.17,-0.12,-0.17
-4.59,-4.17,-4.67,0.01,-0.07,-0.27
-5.48,-4.70,-4.98,-0.16,-0.32,0.27
-6.96,-2.31,-4.33,-0.60,-0.24,-0.09
-5.38,0.03,-4.70,0.01,0.77,-0.29
-1.93,-3.83,-5.82,1.27,0.54,0.59
-6.37,-9.15,-5.19,-0.03,0.07,0.28
-4.88,2.42,-6.67,-0.84,-0.25,-1.48
-7.15,-4.87,-4.65,2.29,0.60,0.22
-1.97,-5.39,-3.19,1.95,0.53,0.18
3.48,-5.92,-2.36,0.01,0.85,1.12
-4.94,-3.74,-10.81,-2.68,-1.38,-1.09
-6.92,-1.57,-3.96,-2.00,-2.44,-2.02
-19.51,2.96,-7.57,4.37,-0.18,2.50
-12.83,-26.43,14.21,2.29,-3.82,0.80
4.77,3.62,5.57,2.97,4.37,3.11
-6.65,-19.64,13.90,-4.37,-4.08,1.92
-30.57,16.34,12.93,-4.37,-4.37,-4.37
-23.57,8.60,6.46,4.37,-4.37,-0.90
0.36,-6.33,6.19,4.37,0.86,-4.37
-14.58,-19.58,8.15,-2.52,-0.03,-4.37
-16.20,-5.82,4.46,0.30,-3.67,-0.59
-4.26,0.44,10.56,2.38,0.94,0.12
-4.24,-9.66,8.47,0.73,0.09,1.11
-3.03,-3.61,6.77,-0.91,-0.25,-0.92
-7.91,-5.69,5.96,-1.66,-2.71,-0.28
-3.01,1.59,9.07,1.95,0.20,1.24
0.71,-4.68,9.67,1.16,1.08,-0.21
-1.45,-6.62,9.64,-1.10,-1.08,-1.10
-9.44,0.73,6.94,-0.85,-0.21,-0.64
-2.68,-7.16,9.89,1.75,1.08,0.66
1.13,-4.79,8.53,-1.13,0.14,-1.05
-3.76,-0.11,7.81,-1.12,-0.88,-0.92
-8.88,-2.01,6.11,0.74,0.18,0.54
-0.97,-0.90,9.04,1.05,1.12,-0.15
-3.06,-5.97,10.06,0.90,0.39,-0.75
-5.60,-4.02,7.72,0.51,0.60,-1.03
-2.37,-1.96,9.08,-0.24,0.55,-1.42
-6.96,-1.90,9.39,0.87,1.30,-1.43
-2.31,-4.32,12.22,1.20,1.54,-2.27
-3.53,-2.49,11.45,-0.09,0.90,-2.85
-3.73,-3.71,10.33,0.76,0.39,-3.61
-8.27,-4.74,9.31,-0.99,2.06,-1.47
-5.73,-2.61,4.13,0.10,3.24,-0.00
-8.08,-6.28,6.93,0.89,2.62,-1.21
-6.73,-8.07,7.07,1.21,2.41,-1.00
-2.78,-9.50,6.54,0.79,3.31,-0.57
-1.28,-12.91,3.85,-2.21,1.70,-1.51
-4.95,-4.58,2.77,-3.27,0.27,-0.66
