accx,accy,accz,gyrox,gyroy,gyroz
-6.97,-1.86,-0.16,1.07,0.04,-0.37
-2.49,1.57,2.03,3.28,2.82,-0.88
-1.25,-10.39,0.86,1.47,2.30,0.29
0.10,-4.30,-2.49,-0.86,-0.66,0.44
-15.04,-11.72,0.08,-0.37,-1.44,0.50
-15.42,-13.74,-5.50,-1.17,0.45,-0.63
-16.82,-15.30,-3.60,-0.52,0.33,0.60
-3.35,-0.41,-2.06,-1.05,-0.39,0.63
-4.87,1.83,-0.54,1.79,1.32,-0.96
4.17,-9.15,3.94,1.15,0.17,0.49
-2.19,-1.94,1.41,-3.35,-1.99,-0.09
-9.05,-9.92,0.88,-0.02,-4.37,2.56
-11.43,-7.64,2.22,-4.06,0.33,0.19
-10.81,-3.64,-1.02,0.32,1.40,0.76
-7.48,-9.97,-2.56,-2.34,2.61,-0.28
-5.40,-2.85,-5.37,-3.61,-1.70,0.75
-14.75,-1.02,-7.12,-3.07,1.53,1.00
-6.74,6.75,-8.95,-0.78,2.96,-0.33
-6.65,-3.79,-7.61,1.40,2.22,-0.17
-5.20,-1.04,-6.38,-0.16,3.13,-1.52
0.49,-6.23,-0.86,2.54,3.46,1.38
3.70,5.20,-2.32,-0.42,4.37,-0.60
7.48,-3.09,1.94,2.66,3.12,3.24
0.29,-2.39,-6.98,-1.65,0.43,-2.41
6.60,0.68,4.53,4.37,-2.92,1.80
4.27,-15.90,6.84,-3.53,-4.37,-1.61
-10.36,-9.55,11.88,-4.37,-4.37,2.41
-3.42,-11.18,20.66,-4.37,-4.37,1.83
-30.65,18.19,14.18,-4.37,-4.37,-0.26
-23.43,-0.86,9.56,4.37,2.54,-2.57
1.96,-11.02,0.58,1.62,2.35,-3.31
2.25,4.43,12.87,4.37,-0.31,-3.66
-16.30,-30.38,10.28,-4.37,0.83,-4.37
-19.15,-13.65,8.66,4.37,0.63,2.10
9.40,8.00,11.86,-4.37,-2.92,-4.37
-14.05,1.13,1.92,1.77,2.85,-4.37
9.04,-19.46,1.56,4.01,4.37,-4.37
-1.97,-39.45,27.83,4.37,3.77,4.37
7.28,4.19,12.21,-4.37,0.89,-4.37
2.79,4.87,-2.24,-4.37,1.93,-1.36
-6.34,0.03,-6.68,0.72,0.94,-0.95
-10.46,-7.82,7.49,4.37,1.77,0.74
1.12,-2.17,10.61,2.63,4.37,-4.37
1.80,-15.26,6.45,3.17,4.37,-1.85
-0.22,-22.30,8.36,1.53,-1.65,4.37
-0.98,7.36,4.33,-4.00,-2.85,-4.37
-15.34,-15.66,1.22,2.27,4.37,-1.00
6.88,-12.85,5.75,1.86,3.96,0.17
-1.03,-9.53,4.49,0.99,-1.18,-1.05
-1.37,-10.16,4.89,-1.04,0.97,0.03
-4.79,-5.73,0.88,0.18,-0.14,-0.85
2.16,-7.95,7.10,2.29,0.91,0.57
-1.05,-11.47,6.37,-0.68,0.04,-1.00
-0.03,-9.88,5.61,-0.68,0.42,0.70
-3.06,-9.11,1.30,-1.75,-0.38,0.11
-5.07,-7.36,1.46,0.80,-0.42,0.11
-3.10,-9.24,2.72,1.52,1.64,-0.63
