accx,accy,accz,gyrox,gyroy,gyroz
-2.98,-8.79,-3.20,-0.11,-0.10,-0.13
-3.25,-8.52,-3.23,0.19,0.07,-0.04
-2.49,-8.75,-2.80,-0.04,-0.13,-0.13
-3.19,-6.78,-3.06,0.26,-0.04,-0.06
-1.35,-7.11,-1.92,0.24,-0.08,-0.23
-3.03,-4.98,-2.76,0.39,-0.24,-0.33
-0.84,-6.13,-0.73,0.61,-0.19,-0.36
-0.88,-2.04,-1.71,0.58,0.06,-0.61
-1.30,-10.25,-0.42,1.58,0.77,-0.45
-0.25,-13.36,-0.07,0.61,-0.62,-0.60
-4.02,-6.00,-1.28,0.45,-0.46,-0.79
-0.07,-9.60,-0.12,1.03,0.14,-0.73
-1.75,-9.17,-0.01,0.15,-0.27,-0.94
-0.79,-10.96,0.52,0.59,0.17,-0.76
-0.96,-9.11,-0.72,0.29,-0.04,-0.89
0.45,-12.41,0.27,0.43,0.09,-1.12
0.33,-10.65,0.09,0.70,-0.77,-1.14
3.00,-9.75,0.68,1.02,-1.00,-1.01
1.78,-10.25,1.65,1.26,-0.76,-0.78
1.74,-16.50,5.32,1.85,1.18,-0.79
6.52,-12.97,5.42,0.29,-0.21,-1.34
2.41,-2.61,0.00,-1.41,-2.36,-1.66
1.80,-6.06,8.14,0.50,-1.60,-0.58
4.27,7.67,1.88,-0.29,-2.34,-2.09
6.66,-12.06,10.16,3.45,-1.49,0.49
23.58,-10.65,11.93,4.37,1.16,-4.37
12.09,-7.32,8.62,-4.37,-2.35,-4.37
-1.97,0.59,-5.21,1.12,0.80,-1.72
13.45,-14.59,6.08,-0.45,-0.05,-2.30
15.64,7.07,2.43,0.59,-3.15,1.68
15.51,-1.63,4.98,-1.38,-1.63,-0.63
1.59,6.42,-4.50,-0.05,-0.77,-0.65
13.86,-6.51,2.04,1.52,1.42,-0.19
11.91,-3.32,-0.32,-0.71,-0.09,-0.60
10.69,-4.73,1.63,-0.56,-0.91,-0.47
7.64,-1.19,-0.87,-0.62,-1.52,-0.18
10.35,-0.88,-1.36,-0.04,-1.23,-0.22
10.66,-0.31,-1.87,-0.62,-1.10,-0.69
8.59,-0.56,-3.86,-0.03,-0.29,-0.23
9.66,-4.53,-2.77,-0.24,-0.47,-0.18
8.65,-0.50,-3.90,-0.50,-0.60,-0.19
8.64,-2.25,-3.98,0.22,-0.25,0.11
10.53,-2.49,-3.17,-0.18,-0.48,-0.09
9.30,-0.77,-3.92,-0.02,-0.27,-0.05
10.34,-3.15,-3.64,0.02,-0.14,-0.14
8.64,-1.38,-4.17,-0.34,-0.38,-0.19
9.80,-1.08,-3.74,0.00,0.10,-0.08
9.45,-1.18,-4.06,-0.03,0.04,-0.11
10.24,-2.07,-3.72,-0.05,0.03,-0.09
8.38,-1.75,-4.46,-0.13,-0.23,0.03
9.46,-2.31,-4.20,-0.06,-0.38,0.12
9.40,-0.51,-4.28,0.04,-0.20,0.16
10.54,-0.99,-3.61,-0.15,-0.02,-0.18
8.98,-0.42,-4.58,0.08,0.19,-0.10
10.00,-2.37,-3.81,-0.13,0.06,-0.17
8.44,-1.84,-5.04,-0.01,0.03,0.00
9.17,-2.19,-4.15,-0.31,-0.02,0.07
