accx,accy,accz,gyrox,gyroy,gyroz
-4.59,-5.19,-4.47,0.06,0.18,-0.10
-5.29,-5.61,-5.01,-0.01,-0.40,0.23
-5.01,-5.57,-5.03,0.07,-0.20,0.13
-5.35,-5.06,-5.00,0.29,-0.20,0.32
-4.81,-6.53,-3.76,0.86,-0.25,0.99
-3.14,-5.07,-3.58,-0.18,-0.56,0.34
-3.09,-2.10,-2.39,0.24,-0.70,0.47
-4.90,-3.58,-2.83,1.02,-1.13,1.89
-5.85,-6.57,-3.52,0.04,-0.98,1.04
-8.68,-3.78,-3.29,-0.27,-0.55,0.43
-7.73,-3.65,-2.55,0.69,0.27,1.38
-6.22,-2.89,-2.86,0.52,0.81,1.06
-9.13,-5.30,-3.83,0.79,0.51,0.96
-10.54,-8.51,-5.23,0.92,0.93,2.28
-5.64,-6.01,-5.04,-1.48,0.59,1.70
-1.94,-3.09,1.43,-0.32,-0.68,1.95
-9.68,-5.29,3.77,-3.49,1.05,1.58
-8.06,6.73,5.09,-3.28,-1.91,4.37
-3.17,12.37,5.81,4.37,-3.63,3.51
-47.92,-18.19,14.35,-4.37,-4.37,-1.33
-11.75,46.60,-5.19,3.88,4.37,3.48
-12.49,-11.30,13.86,3.95,-4.37,2.32
-8.90,26.14,-1.14,-4.37,4.37,-0.46
0.16,12.49,10.19,4.37,-3.56,3.95
-12.06,-19.72,-4.18,-2.01,4.37,-0.84
10.92,21.85,-0.44,-4.37,-3.41,-0.53
-13.99,13.75,-0.61,3.23,-0.43,1.49
0.39,12.68,-3.73,-4.00,4.37,-1.82
-9.42,6.45,2.10,3.43,-4.37,4.37
-20.15,1.25,0.49,-1.17,1.61,1.25
10.45,20.96,5.02,2.07,2.88,1.99
-5.69,-7.03,1.19,-1.07,-0.18,0.49
2.04,12.59,0.65,-3.46,-0.51,-1.12
-5.26,10.84,1.24,-1.70,-1.47,-1.08
-6.81,11.11,-0.32,-0.39,0.60,0.72
-1.37,3.33,2.69,-0.10,-0.86,1.97
-4.94,11.62,2.14,-1.01,-1.77,-1.03
0.21,10.13,2.13,-1.22,1.61,-1.48
-3.00,5.56,6.66,1.81,-2.44,0.25
-2.84,8.68,2.94,-1.53,0.69,-0.53
0.95,8.96,5.40,0.20,-2.06,-0.23
-1.91,14.25,4.96,0.56,0.24,-1.78
-5.27,4.90,3.04,0.38,0.98,-0.24
-5.72,5.93,1.34,0.29,1.40,-0.44
-4.03,10.53,1.37,0.72,0.11,0.05
-7.18,2.14,5.36,1.95,2.09,0.38
-0.60,11.91,1.74,0.38,-0.65,-1.07
-8.02,13.78,0.26,2.22,1.49,-0.85
-1.87,6.27,-1.57,1.23,1.36,-1.85
-11.62,12.83,-4.79,1.22,0.18,-0.90
-1.82,2.20,-4.24,2.34,2.78,-0.77
-5.87,5.67,-5.49,1.85,0.28,-0.24
-1.70,6.14,-2.49,1.10,1.27,-1.47
-6.70,0.40,-7.34,-0.26,1.75,-0.73
-10.29,6.42,-4.54,2.94,-2.17,0.88
-14.39,0.29,-6.51,-1.16,1.02,-2.91
-2.77,2.75,-4.19,0.04,0.75,-1.85
