accx,accy,accz,gyrox,gyroy,gyroz
-3.55,-8.25,-4.59,0.50,0.47,0.54
-4.76,-7.52,-5.49,-0.21,-0.04,0.05
-6.31,-7.55,-5.09,-0.15,-0.08,-0.24
-5.17,-6.62,-4.48,-0.07,-0.14,-0.38
-4.32,-5.49,-4.81,0.06,-0.03,-0.10
-3.99,-5.04,-4.35,0.17,-0.40,-0.05
-4.32,-4.25,-3.73,0.24,-0.08,0.16
-3.32,-4.55,-3.66,0.50,-0.04,0.27
-3.90,-6.13,-3.25,0.24,-0.52,0.68
-5.77,-6.31,-3.49,0.53,-0.22,0.19
-3.86,-7.66,-3.10,0.42,-0.14,-0.23
-5.58,-5.52,-3.33,0.18,-0.43,-0.15
-4.18,-5.24,-2.92,0.18,-0.27,-0.36
-5.39,-6.04,-3.82,0.42,-0.65,0.70
-5.80,-5.56,-3.03,0.19,-0.69,0.52
-4.81,-7.15,-1.06,0.74,-0.19,0.53
-8.72,-9.81,0.54,-0.27,-2.01,0.50
-13.27,-4.66,-1.61,0.71,0.25,0.85
-5.60,-10.33,-0.17,0.55,0.24,0.16
-11.94,-5.92,-1.27,-0.59,-0.93,0.38
-7.17,-9.20,-0.44,1.14,0.13,0.22
-13.19,-8.88,-0.58,-0.92,-1.36,-0.27
-10.30,-11.44,-0.46,1.33,0.02,-0.39
-12.64,-9.50,1.02,-0.17,-1.11,-1.08
-9.30,-9.67,3.01,1.01,-0.39,-0.19
-7.60,-7.53,2.02,0.38,-0.92,-0.72
-9.85,-11.13,2.40,-0.03,-0.35,-0.80
-5.07,-8.30,2.39,0.31,-0.68,0.08
-5.94,-5.27,2.06,-0.42,-0.21,-0.29
-4.58,-7.24,2.35,0.62,0.80,-0.48
-3.21,-7.06,2.49,-0.62,-0.35,-0.50
-8.43,-6.23,1.81,-0.19,0.22,0.01
-5.26,-8.78,2.90,-0.38,1.00,-1.04
-2.67,-6.64,2.42,-1.34,-0.14,-0.17
-8.36,-4.42,1.21,-0.91,0.82,0.10
-4.43,-8.35,1.85,-0.75,1.13,0.13
-6.38,-4.55,0.37,-0.90,0.96,0.02
-2.52,-7.44,0.66,-0.22,1.28,0.02
-5.80,-8.77,-0.61,-1.63,0.08,-0.16
-4.20,-2.35,-1.72,-0.71,1.32,-0.18
-1.37,-6.60,-2.67,-0.12,0.68,0.25
-3.38,-10.41,-2.96,-0.73,0.27,0.11
-7.40,-2.26,-4.37,-1.31,0.23,0.02
-2.40,-7.18,-4.44,0.59,0.97,0.18
-4.93,-6.73,-4.71,-0.65,-0.60,-0.20
-5.74,-6.20,-4.11,0.29,0.33,-0.28
-3.12,-6.88,-3.22,-0.12,-0.15,-0.27
-4.44,-4.38,-3.38,-0.14,0.08,-0.22
-3.44,-6.11,-3.35,0.05,-0.21,-0.16
-5.18,-5.93,-3.56,-0.07,-0.05,-0.26
-3.57,-5.69,-2.96,0.11,0.56,0.03
-2.17,-6.27,-3.90,0.24,0.05,0.05
-5.21,-7.07,-3.38,0.03,-0.28,-0.08
-4.05,-7.13,-3.15,0.49,-0.28,0.26
-5.47,-8.72,-2.03,0.19,-0.55,0.30
-5.84,-7.20,-3.43,0.36,0.27,0.08
-5.71,-12.10,-2.27,0.01,-0.50,0.34
