accx,accy,accz,gyrox,gyroy,gyroz
-4.03,-8.27,-3.79,-0.09,-0.03,-0.06
-4.40,-7.37,-3.83,-0.08,0.06,-0.14
-4.40,-8.26,-3.70,-0.12,-0.00,-0.09
-4.67,-8.17,-3.79,-0.05,0.05,-0.06
-4.33,-8.41,-3.70,-0.04,0.05,-0.04
-4.87,-8.05,-3.87,-0.11,-0.03,-0.04
-4.29,-8.43,-3.69,0.01,0.09,-0.02
-4.79,-8.05,-3.78,-0.11,-0.05,0.00
-4.35,-8.36,-3.71,0.04,0.11,-0.01
-4.62,-8.30,-3.85,-0.03,0.00,0.01
-4.38,-8.23,-3.62,0.01,0.13,-0.12
-4.10,-8.14,-3.76,-0.09,-0.05,-0.05
-4.72,-7.98,-3.86,0.01,0.10,-0.04
-4.31,-8.48,-3.64,-0.08,-0.01,-0.00
-4.70,-8.26,-3.80,-0.01,0.04,0.00
-4.53,-8.52,-3.53,-0.05,-0.08,0.18
-4.65,-8.26,-3.79,0.08,0.05,0.08
-4.53,-8.36,-3.73,-0.03,-0.03,0.05
-4.45,-8.08,-3.66,-0.01,0.07,-0.00
-4.34,-8.30,-3.80,-0.07,0.01,-0.01
-4.70,-8.09,-3.81,-0.06,0.05,-0.02
-4.08,-8.48,-3.59,-0.02,0.08,-0.06
-4.69,-8.18,-3.78,-0.12,-0.05,-0.03
-4.37,-8.35,-3.69,-0.03,0.07,-0.03
-4.47,-8.17,-3.88,-0.10,-0.03,-0.04
-4.46,-8.03,-3.78,-0.00,0.07,0.01
-4.48,-8.34,-3.67,-0.05,-0.09,0.04
-4.27,-8.50,-3.66,0.00,0.03,0.01
-4.58,-8.05,-3.81,-0.11,-0.13,0.04
-4.47,-8.24,-3.73,0.01,0.08,0.00
-4.75,-8.55,-3.86,-0.15,-0.07,-0.04
-4.94,-8.58,-3.80,-0.01,0.06,0.01
-4.70,-8.71,-3.92,-0.06,-0.01,0.06
-4.97,-8.29,-4.11,-0.06,0.07,0.03
-4.11,-8.07,-2.72,0.07,0.06,-0.09
-4.35,-8.31,-3.52,-0.20,-0.11,-0.01
-5.11,-7.69,-3.68,-0.01,0.05,-0.02
-4.06,-8.77,-3.59,0.05,0.04,0.01
-4.87,-8.18,-3.81,-0.11,-0.12,0.03
-4.78,-8.39,-3.74,0.03,0.12,-0.07
-4.16,-8.31,-3.83,-0.07,-0.02,-0.07
-4.81,-8.14,-3.81,-0.06,-0.01,-0.03
-4.53,-8.31,-3.71,-0.02,0.04,-0.02
-4.64,-8.29,-3.69,-0.10,-0.05,-0.00
-4.51,-8.34,-3.52,0.05,0.03,0.16
-4.33,-8.21,-3.71,-0.01,-0.14,0.15
-4.40,-8.04,-3.56,-0.08,-0.10,0.03
-4.82,-7.75,-3.74,-0.08,-0.03,0.03
-4.53,-8.13,-3.69,-0.00,0.08,-0.04
-4.68,-8.16,-3.63,-0.08,-0.02,-0.03
-4.87,-8.32,-3.68,-0.01,0.07,-0.01
-4.41,-8.43,-3.63,0.02,0.11,-0.01
-4.71,-8.08,-3.69,-0.08,-0.07,0.01
-4.43,-8.32,-3.67,0.03,0.11,-0.04
-4.33,-8.09,-3.61,-0.07,-0.04,0.05
-4.54,-7.93,-3.73,-0.01,-0.02,0.03
-4.53,-8.25,-3.82,-0.08,-0.02,-0.02
