accx,accy,accz,gyrox,gyroy,gyroz
-6.15,-5.65,-4.74,0.17,-0.30,0.27
-5.25,-7.18,-4.41,0.13,-0.10,-0.13
-6.17,-6.61,-4.24,-0.12,-0.17,-0.14
-5.22,-6.28,-4.38,0.05,0.00,-0.09
-5.69,-6.56,-4.24,-0.11,-0.25,-0.11
-5.01,-5.69,-3.77,0.05,0.01,-0.12
-3.63,-5.04,-3.56,-0.08,-0.15,0.08
-3.30,-3.89,-3.51,0.04,-0.30,0.20
-2.71,-4.81,-2.57,0.08,-0.29,0.10
-4.42,-5.74,-4.49,0.43,-0.66,0.61
-8.06,-8.03,-2.55,-0.04,-0.34,-0.32
-2.43,-6.65,-2.06,-0.31,-0.10,-0.36
-6.94,-6.37,-2.89,-0.56,-0.17,0.08
-6.69,-8.81,-2.72,0.50,-0.01,0.13
-5.89,-8.24,-2.24,-0.54,0.38,-0.07
-7.08,-7.31,-4.28,-0.19,0.25,-0.22
-6.87,-9.01,-3.61,0.02,0.12,-0.12
-4.41,-9.01,-3.35,0.08,-0.55,0.02
-11.27,-5.54,-5.07,-0.35,0.31,0.09
-8.51,-13.90,-5.12,0.46,0.83,0.17
-11.67,-9.52,-7.19,-0.56,0.19,-0.25
-10.12,-14.95,-5.59,0.92,-0.36,0.50
-6.99,-9.26,-5.34,-0.08,-0.14,-0.04
-8.66,-7.80,-3.71,-0.01,-0.29,0.08
-6.94,-9.12,-2.73,0.72,0.09,-0.01
-4.96,-8.20,-2.15,0.11,-0.23,0.04
-7.16,-6.46,-1.35,-0.28,0.04,-0.16
-5.10,-6.98,-2.29,-0.02,0.54,0.11
-5.31,-6.03,-3.26,-0.21,0.38,0.10
-5.43,-7.01,-2.99,-0.18,0.18,0.01
-7.01,-7.73,-3.77,-0.15,-0.00,-0.03
-6.62,-6.21,-3.39,-0.11,0.50,0.04
-4.21,-7.47,-3.22,0.15,0.52,0.13
-5.69,-5.81,-3.76,-0.12,-0.01,0.10
-5.52,-6.01,-3.32,0.26,0.40,-0.09
-4.42,-6.20,-2.96,-0.04,0.08,-0.05
-5.25,-5.98,-2.86,0.13,0.26,0.12
-4.39,-6.02,-2.92,-0.11,0.13,0.01
-5.30,-6.18,-2.94,-0.20,0.03,0.01
-5.54,-6.58,-3.38,-0.25,0.38,-0.00
-5.83,-6.74,-3.33,-0.20,0.09,0.10
-4.74,-6.10,-3.74,-0.23,0.34,-0.01
-5.99,-6.70,-4.68,-0.49,0.12,0.12
-5.54,-6.50,-5.41,-0.08,0.10,0.05
-6.58,-8.36,-4.84,-0.16,-0.00,-0.11
-5.73,-6.97,-5.04,-0.14,-0.19,-0.15
-6.38,-6.14,-4.60,-0.24,0.08,-0.09
-4.62,-6.06,-4.76,0.01,0.16,0.05
-6.15,-6.55,-5.19,-0.14,0.14,-0.07
-6.19,-7.76,-5.01,-0.15,0.02,-0.09
-6.09,-6.59,-4.85,-0.15,0.08,0.09
-5.24,-5.60,-5.14,0.03,0.19,0.01
-5.97,-7.28,-5.08,0.01,0.07,-0.08
-5.77,-7.56,-4.58,-0.07,-0.06,0.01
-6.61,-6.72,-5.40,-0.11,0.05,0.24
-5.15,-7.12,-5.05,0.11,0.11,0.02
-5.75,-6.68,-5.05,-0.09,-0.18,0.01
