accx,accy,accz,gyrox,gyroy,gyroz
-6.60,-7.27,-2.49,-0.20,0.11,0.08
-6.43,-7.44,-2.38,-0.31,0.04,0.05
-6.48,-7.13,-2.57,-0.21,-0.04,0.04
-5.91,-7.59,-2.29,-0.08,-0.19,-0.07
-6.86,-6.45,-2.44,-0.06,-0.46,-0.09
-5.99,-6.33,-1.93,0.41,-0.11,-0.39
-5.73,-6.58,-1.95,0.55,-0.44,-0.35
-5.65,-6.51,-1.64,0.53,-0.64,-0.42
-4.88,-7.62,-1.32,0.74,-0.59,-0.49
-3.69,-6.53,-0.30,0.63,-1.02,-0.54
-3.85,-5.62,0.08,0.75,-1.21,-0.52
-4.82,-7.93,1.66,0.88,-0.77,-0.38
-4.85,-10.33,1.34,0.73,-0.92,-0.26
-5.07,-7.82,2.55,0.26,-0.81,-0.01
-5.11,-7.75,2.25,0.33,-0.48,-0.15
-4.36,-8.10,2.49,0.33,-0.38,-0.16
-4.25,-7.61,2.71,0.31,-0.31,-0.20
-3.86,-7.29,2.64,0.31,-0.09,-0.16
-4.49,-8.38,3.27,0.15,-0.28,-0.06
-4.20,-8.42,2.57,0.21,-0.08,-0.57
-5.70,-7.11,4.03,0.20,0.07,-0.24
-3.40,-8.17,4.73,0.60,0.61,-0.21
-3.74,-8.67,4.38,0.14,0.15,-0.32
-3.96,-8.64,5.08,0.18,0.16,-0.26
-3.98,-8.67,4.81,0.15,0.18,-0.25
-3.66,-9.02,4.58,-0.13,0.30,-0.14
-4.54,-8.65,4.26,-0.33,0.11,-0.01
-3.76,-8.46,4.43,-0.21,0.36,0.04
-4.29,-9.41,4.45,-0.49,0.24,0.05
-4.78,-8.07,4.94,-0.57,0.42,0.18
-4.71,-8.99,3.84,-0.34,0.40,0.61
-3.92,-10.13,3.05,-0.65,0.45,0.14
-4.75,-9.72,2.41,-0.92,0.47,-0.44
-4.22,-6.67,1.50,-0.72,0.44,0.16
-4.33,-8.05,0.73,-0.60,0.52,0.46
-4.64,-7.96,0.08,-0.45,0.64,0.41
-3.76,-8.83,-0.52,-0.44,0.35,0.16
-5.51,-7.63,-0.73,-0.51,0.04,0.11
-5.05,-8.86,-0.81,-0.21,0.18,0.35
-6.31,-8.61,-1.22,-0.45,-0.02,0.12
-5.14,-7.08,-1.20,-0.23,0.35,0.06
-4.77,-7.24,-1.05,-0.15,-0.08,0.18
-5.82,-7.25,-1.00,-0.13,-0.14,0.13
-5.47,-8.22,-0.75,-0.10,-0.18,0.21
-6.07,-7.76,-0.79,-0.11,-0.30,0.26
-5.90,-8.03,-0.59,-0.06,-0.11,0.14
-5.77,-7.76,-0.48,-0.09,-0.21,0.06
-6.28,-7.59,-0.76,-0.06,-0.05,-0.08
-5.49,-8.14,-0.35,-0.03,0.07,-0.15
-5.94,-7.98,-0.22,-0.13,-0.05,-0.15
-5.99,-8.06,-0.53,0.07,0.17,-0.07
-5.20,-8.21,-0.20,0.04,0.05,-0.10
-5.80,-7.66,-0.50,0.01,0.04,-0.04
-5.28,-8.11,-0.28,-0.02,0.04,-0.08
-5.40,-7.73,-0.37,-0.01,0.05,-0.07
-5.38,-8.11,-0.23,-0.10,0.02,-0.12
-5.56,-8.09,-0.28,-0.05,0.05,-0.12
