accx,accy,accz,gyrox,gyroy,gyroz
7.94,-2.06,3.77,0.32,-3.36,1.40
-2.05,-2.84,0.68,-2.37,-2.09,-0.65
-18.96,-24.28,1.16,2.10,-1.69,1.51
-20.00,-19.13,3.32,-0.79,0.73,-0.87
8.89,2.76,5.04,0.92,2.01,1.19
-1.64,-2.72,1.33,-1.81,1.54,-0.75
-1.71,1.01,0.03,-0.35,1.27,0.48
3.90,4.13,0.76,2.06,2.33,-0.60
-20.79,-29.39,-4.18,1.56,1.18,-0.36
-19.63,-19.08,0.24,1.39,-0.22,1.01
1.03,-4.94,0.40,0.15,1.73,0.41
6.55,-2.01,1.03,0.45,0.07,0.07
-0.14,-4.61,0.66,-3.25,-3.07,-0.09
-6.72,1.92,-2.83,-2.24,-2.51,-0.16
-5.91,-18.36,7.95,4.37,-3.73,3.53
-15.57,-12.80,8.77,-2.97,0.79,-2.86
-2.84,-16.29,0.13,2.22,1.63,0.66
-2.43,-3.25,-0.02,-4.37,-0.09,-0.62
-2.37,6.75,0.76,0.68,1.12,1.81
5.75,9.43,1.94,0.38,1.82,-0.97
-8.44,-11.95,4.93,4.37,0.78,1.61
-16.78,-25.15,5.72,0.22,2.94,-2.37
-8.89,-11.94,-1.50,1.33,0.64,-0.48
6.34,-6.54,3.60,-0.72,2.42,-0.04
5.49,-5.12,2.86,-3.24,-3.98,1.06
4.59,0.30,6.40,-4.37,-4.37,-0.88
-13.54,2.85,0.13,-1.49,-4.37,-1.27
-21.26,-32.71,4.61,1.48,0.75,2.22
-17.54,-5.15,-3.97,-1.64,0.52,-3.33
-1.79,-21.11,8.91,2.16,3.08,3.55
-5.02,4.20,-1.11,-4.37,1.01,-2.91
6.00,16.97,2.39,1.68,1.91,0.12
-1.47,-7.28,-3.57,4.24,2.92,-0.33
-10.39,-23.26,-0.90,4.22,1.41,0.65
-7.34,-18.51,1.15,1.49,-1.23,1.00
-0.91,-2.45,1.71,-1.36,2.47,-1.01
4.74,-1.57,0.21,0.81,-2.20,-0.65
-1.90,-13.27,3.03,-2.24,-4.24,2.51
-2.86,6.80,0.27,-4.37,-4.37,-2.56
-14.95,-13.52,4.59,4.37,-1.34,3.73
-9.91,-18.26,9.14,-2.48,1.40,-3.29
-4.44,-1.11,-1.77,1.72,4.37,-0.01
2.86,-13.27,2.73,-0.57,2.01,1.07
-1.76,3.49,4.92,-2.81,-4.27,-0.51
-9.06,2.98,-4.17,-1.34,0.75,-2.91
-8.42,-17.01,4.23,4.37,4.37,3.71
-1.19,-16.89,2.53,-0.41,1.51,-2.26
-12.67,-15.85,-1.62,-0.86,3.77,-0.26
5.27,-1.46,-1.08,-1.11,-0.04,0.61
0.82,-0.44,3.36,-0.73,-4.37,-0.07
-7.04,-5.22,1.86,-2.80,-3.51,0.32
-5.21,4.06,-5.65,0.11,0.07,-2.29
-18.99,-35.00,9.62,4.37,0.41,4.37
-7.67,-7.72,0.18,-3.12,2.42,-4.10
-4.94,-18.30,1.74,0.63,2.53,2.52
3.60,4.93,-2.39,-2.23,0.80,-1.46
0.05,-1.07,0.02,1.06,-1.23,0.98
