accx,accy,accz,gyrox,gyroy,gyroz
-6.57,-6.32,-4.35,-0.08,0.13,-0.04
-6.43,-6.33,-4.63,-0.06,0.17,-0.07
-5.51,-6.54,-4.28,0.05,0.04,-0.06
-6.03,-6.00,-4.75,-0.25,-0.29,-0.12
-6.53,-6.45,-4.75,-0.01,-0.08,-0.14
-6.85,-6.05,-4.93,-0.10,-0.17,-0.07
-5.92,-6.28,-4.67,0.20,0.16,-0.05
-5.77,-6.49,-4.14,0.03,-0.26,0.08
-6.44,-5.96,-4.45,0.05,-0.04,0.14
-6.58,-5.79,-4.50,0.07,0.24,0.22
-4.92,-4.90,-4.06,0.07,0.50,0.15
-3.35,-3.35,-2.41,0.49,0.40,0.02
-2.00,-5.60,-3.54,0.24,0.28,-0.27
-6.49,-6.17,-4.36,-0.30,-0.56,0.08
-5.91,-6.66,-4.17,0.50,0.57,0.19
-9.68,-10.61,-2.60,-0.19,-0.82,0.03
-9.16,-7.49,-4.63,-0.23,-1.15,0.27
-13.05,-9.31,-4.13,0.25,-0.41,0.76
-12.16,-3.34,-5.23,-1.06,-0.10,-0.39
-3.35,-2.35,-2.79,1.82,1.16,0.28
-3.69,-6.56,-2.00,-0.55,-0.68,0.25
-9.77,-5.09,-2.99,0.22,-0.12,0.13
-4.27,-8.96,-1.99,-0.03,0.00,-0.32
-9.03,-1.37,-3.21,-1.69,-0.69,-0.19
-5.00,-3.33,-1.88,0.68,1.03,-0.17
-6.20,-4.98,-2.28,-0.84,-0.49,0.29
-8.57,-3.19,-2.49,-0.13,1.01,0.11
-8.09,-13.72,-2.44,0.46,-0.95,0.78
-15.65,-12.72,-3.09,-1.27,-1.87,0.39
-12.71,-4.28,-4.40,0.01,1.90,-0.95
-6.73,-7.64,-3.89,-0.80,0.15,0.10
-5.56,1.13,-3.29,1.04,0.77,0.18
-0.89,-7.33,-2.13,0.55,-0.05,-0.08
-8.87,-3.61,-3.71,0.09,-0.28,-0.29
-2.42,-5.58,-1.53,0.65,0.67,-0.09
-4.90,-4.59,-2.91,-0.01,-0.24,0.18
-5.10,-5.44,-3.57,0.38,0.74,-0.23
-3.78,-6.32,-2.89,-0.15,0.03,-0.16
-7.89,-8.91,-3.82,0.04,-0.62,0.12
-13.63,-5.63,-4.60,-1.03,0.50,-0.80
-11.55,-11.05,-4.24,1.00,-1.15,0.81
-9.07,-7.60,-0.62,-1.08,0.51,0.16
-9.18,0.31,-4.68,0.23,1.02,-0.55
-0.25,-7.99,-2.07,1.15,-0.45,0.16
-9.29,-3.06,-3.38,-1.03,-0.94,-0.19
-6.12,-9.30,-2.03,0.14,0.05,0.25
-10.05,-3.76,-3.86,-1.43,-0.66,-0.10
-5.29,-2.98,-3.70,-0.06,1.11,-0.33
-3.46,-2.50,-1.81,-0.49,0.04,-0.61
-4.94,-4.09,-2.65,-0.00,0.40,-0.34
-6.61,-6.17,-5.37,0.74,-1.14,0.38
-5.38,-11.07,-0.36,0.45,0.52,0.65
-18.62,-12.48,-6.49,-1.25,-1.12,-0.48
-7.07,-7.70,-3.68,0.71,1.36,-0.18
-6.96,-1.30,-3.61,-1.75,0.35,-0.48
-5.88,-6.15,-1.92,2.05,0.69,0.55
1.42,-6.25,-1.71,-0.52,-0.16,-0.32
