accx,accy,accz,gyrox,gyroy,gyroz
-5.49,-6.82,-3.21,-0.03,0.10,-0.09
-7.21,-5.70,-3.52,-0.33,-0.52,-0.03
-7.28,-6.21,-3.58,0.28,0.56,-0.08
-5.60,-6.85,-3.62,-0.09,-0.01,-0.04
-6.57,-6.83,-2.35,-0.23,-0.16,-0.06
-7.45,-6.49,-4.24,0.02,0.04,0.16
-6.94,-6.37,-3.41,0.20,0.35,-0.01
-6.13,-6.78,-3.70,0.19,0.33,-0.03
-6.33,-6.55,-3.81,0.09,0.14,-0.04
-6.48,-6.79,-3.58,-0.02,0.09,-0.05
-6.72,-6.63,-3.64,0.03,0.14,-0.07
-6.26,-7.17,-3.30,-0.03,0.10,-0.08
-6.78,-7.01,-3.68,0.13,0.27,-0.05
-6.25,-7.27,-3.99,0.18,0.19,0.07
-6.13,-7.00,-4.01,-0.03,-0.16,0.03
-6.97,-6.58,-3.86,0.10,0.09,-0.05
-4.80,-7.30,-3.50,-0.05,-0.10,-0.01
-7.30,-6.10,-3.81,-0.15,0.00,-0.02
-6.12,-7.70,-3.59,0.11,0.14,0.12
-5.95,-6.79,-3.79,-0.16,-0.36,0.02
-6.67,-6.25,-3.79,-0.11,-0.14,0.04
-5.77,-7.04,-3.64,-0.08,-0.06,-0.03
-6.35,-7.07,-3.57,-0.35,-0.47,0.06
-6.35,-6.56,-3.37,-0.30,-0.42,-0.01
-7.02,-6.61,-3.21,-0.39,-0.49,0.05
-7.21,-6.46,-3.22,-0.16,-0.16,0.05
-6.14,-7.18,-2.74,-0.17,-0.29,0.07
-6.80,-6.15,-3.15,-0.15,-0.26,0.14
-4.34,-7.94,-2.47,-0.39,-0.85,0.03
-9.84,-4.70,-2.69,-0.54,-0.94,0.14
-7.51,-6.14,-2.46,0.55,1.02,-0.18
-4.68,-8.14,-2.92,-0.07,-0.07,0.02
-8.11,-5.64,-2.71,-0.27,-0.46,0.03
-7.11,-6.01,-2.67,0.17,0.22,0.05
-6.29,-6.62,-2.49,-0.05,-0.08,0.03
-7.72,-5.96,-2.55,-0.08,-0.10,0.05
-6.75,-6.58,-2.45,0.09,0.18,-0.07
-7.37,-6.25,-2.55,-0.22,-0.35,-0.05
-8.05,-6.04,-2.49,0.14,0.20,-0.06
-7.24,-6.65,-2.43,0.16,0.24,-0.03
-6.95,-6.80,-2.28,0.00,0.01,0.10
-8.20,-6.24,-3.00,0.01,0.31,0.01
-6.04,-6.88,-2.60,0.11,0.46,0.06
-6.69,-6.85,-2.85,-0.29,-0.13,-0.06
-7.36,-6.09,-2.89,-0.02,0.15,-0.06
-6.72,-6.71,-3.09,-0.00,0.16,-0.07
-6.65,-6.57,-2.96,-0.08,-0.03,-0.03
-7.16,-6.19,-2.77,0.02,0.10,-0.07
-6.70,-6.37,-2.96,0.00,0.07,0.02
-6.81,-6.28,-2.89,-0.06,0.03,0.00
-6.79,-5.96,-3.34,-0.03,-0.05,-0.02
-6.44,-6.43,-2.80,0.01,-0.01,-0.13
-7.06,-6.18,-2.92,-0.06,-0.21,-0.09
-7.26,-6.36,-2.52,0.07,-0.00,-0.04
-7.00,-6.59,-2.61,0.04,-0.07,-0.00
-7.01,-6.66,-2.72,0.11,0.08,-0.04
-6.51,-6.47,-2.67,0.02,-0.12,-0.04
