accx,accy,accz,gyrox,gyroy,gyroz
-5.54,-6.38,-4.17,0.02,-0.13,-0.00
-6.17,-6.22,-4.32,-0.15,-0.19,-0.18
-6.10,-6.69,-4.55,0.15,0.02,-0.16
-4.16,-7.33,-3.83,-0.09,-0.13,-0.26
-5.10,-2.82,-4.58,-0.60,-0.51,-0.32
-2.96,-3.02,-4.19,0.63,0.54,-0.44
-1.90,-2.90,-3.67,0.28,-0.67,-0.41
-1.33,-4.04,-1.75,1.12,0.05,-0.75
-7.11,-9.67,-1.69,0.34,-1.34,-0.43
-16.50,-20.10,-2.12,1.40,-1.40,0.42
-19.31,-22.56,-2.76,0.07,0.37,0.31
-18.25,-23.68,-2.94,-0.93,1.12,1.00
-4.79,-12.88,-2.71,-1.99,0.63,-0.23
-6.61,2.15,-7.95,-3.57,1.22,-1.43
7.63,10.68,-1.14,1.83,0.89,0.47
2.26,-2.84,-1.43,0.23,-1.11,0.14
-3.13,-1.03,-2.37,0.57,-1.07,0.01
0.29,-2.43,-0.30,0.27,-0.62,0.12
-1.93,0.39,-1.15,-0.39,-0.44,-0.42
0.69,-0.68,-0.98,0.37,0.44,-0.46
0.31,-1.98,-1.98,-0.14,-0.44,-1.27
-6.09,-12.27,-7.86,0.48,-1.98,0.72
-21.53,-29.21,18.26,4.37,-4.37,4.37
-14.25,-17.23,-2.70,0.72,4.37,-1.86
-23.16,-42.95,2.21,-0.01,-1.43,2.07
-17.34,-13.58,-0.88,-2.79,0.07,1.67
-3.87,-11.60,-5.83,-2.38,3.68,-1.49
1.81,5.42,-3.80,-2.19,-0.78,-1.29
0.39,7.15,-1.31,0.00,-0.28,0.38
6.84,-1.84,-1.62,0.93,-0.33,-0.05
-1.73,0.14,0.87,-0.66,-2.84,-0.19
-1.92,2.45,-0.46,0.33,0.87,-0.65
1.93,-4.31,0.54,0.50,-0.61,-0.04
-1.54,0.30,-0.53,-1.11,-1.22,-0.58
-1.34,6.01,-4.02,-1.01,0.39,-2.05
-7.67,-16.01,-8.46,2.47,-1.72,-3.99
-35.53,-39.61,13.59,-4.37,-3.34,-4.37
-7.05,-2.08,6.99,3.38,3.16,1.49
-15.24,-35.18,3.99,-0.53,3.84,-0.36
-21.53,-19.03,-1.43,-2.91,-1.11,1.35
-3.81,-15.11,1.09,-0.10,1.27,1.24
-1.34,11.42,0.19,-4.37,1.35,-3.22
2.47,5.75,-7.65,2.21,4.16,1.18
7.88,-6.78,2.66,1.52,-3.63,2.00
-7.13,3.42,-1.14,-1.75,-1.15,-0.99
1.99,0.04,-0.43,2.82,0.46,0.70
-1.16,-2.04,-0.02,-0.98,-0.74,-0.51
-1.97,1.57,0.01,0.85,0.54,0.53
5.04,-1.50,-0.28,0.15,0.65,-1.05
1.62,3.09,-0.79,-0.94,-1.63,-1.13
-11.25,-14.36,-10.90,2.76,1.72,-4.37
-40.67,-45.55,19.50,-4.37,-4.37,-1.08
4.79,5.37,15.51,4.37,3.33,1.82
-31.67,-42.61,7.90,-2.27,4.37,0.63
-9.92,-12.53,1.58,1.43,-1.01,3.96
-7.80,-16.97,-0.57,-4.37,4.37,-0.56
0.79,13.90,1.26,-3.49,-4.37,-0.65
