accx,accy,accz,gyrox,gyroy,gyroz
-7.25,-7.58,-0.28,-0.40,-0.40,0.07
-6.55,-6.29,-0.26,-0.10,0.46,-0.04
-3.91,-7.22,-0.65,-0.26,0.67,-0.17
-5.05,-8.63,-0.90,-0.37,0.18,0.11
-5.01,-8.82,-0.88,-0.51,-0.36,0.54
-8.83,-8.49,-1.30,-0.81,-0.62,0.68
-6.57,-6.85,-0.09,-0.49,-0.28,0.77
-9.52,-5.69,-1.32,-1.11,-0.32,0.46
-7.79,-3.69,-1.08,-0.18,0.74,0.21
-6.53,-7.96,-2.29,-0.19,0.46,-0.15
-5.90,-7.37,-2.12,-0.26,-0.40,-0.05
-6.29,-4.36,-2.54,-0.67,-1.12,-0.11
-7.24,-3.16,-2.32,-0.18,-0.16,-0.26
-5.26,-6.06,-2.28,0.07,-0.18,-0.19
-7.13,-6.71,-2.69,-0.03,-1.17,0.23
-10.08,-5.68,-1.93,0.17,-0.81,0.13
-7.86,-5.51,-2.02,0.45,0.24,-0.09
-7.77,-7.39,-0.75,0.55,-0.03,-0.09
-11.41,-7.60,0.18,0.39,-0.03,-0.49
-6.15,-9.92,3.78,1.31,0.92,-0.24
-1.10,-4.53,2.04,-1.59,-0.46,-0.64
-12.31,-9.21,0.65,-0.16,-0.83,0.04
-5.25,-6.53,1.23,0.08,0.60,0.20
-3.68,-8.23,0.31,-0.42,-1.04,0.45
-7.94,-3.55,-0.14,-0.69,-0.79,0.28
-6.92,-4.11,-1.20,0.42,1.07,0.03
-5.73,-7.71,0.73,0.69,-0.18,0.37
-9.22,-6.30,2.19,0.26,0.23,-0.49
-9.33,-9.93,0.86,-0.18,1.39,-0.41
-8.38,-4.18,0.33,0.18,0.84,0.46
-6.66,-4.38,2.02,0.78,0.80,-0.65
-8.36,-6.39,-0.22,-0.65,-0.53,-0.56
-10.37,-3.89,0.56,0.82,0.53,-0.42
-6.83,-5.50,0.31,0.22,1.45,-2.33
4.87,-4.77,2.37,0.94,0.84,0.36
-4.30,-6.66,-1.51,-0.93,-1.28,-0.59
-8.60,-5.85,-1.79,0.04,-1.04,0.18
-8.61,-7.88,-0.79,0.71,0.46,-0.34
-6.04,-9.70,-1.09,-0.06,0.19,-0.31
-8.26,-8.20,-0.14,0.26,0.52,0.22
-5.46,-8.28,1.68,0.82,1.32,-0.87
1.10,-11.91,2.86,-0.01,0.04,0.47
-7.52,-6.07,-0.97,-0.87,-1.24,0.38
-8.80,-11.80,3.35,0.06,-0.55,0.49
-8.57,-3.31,-0.68,-1.03,1.70,-0.17
-3.23,-6.10,-0.72,0.75,1.44,-0.34
-3.00,-7.57,-1.08,0.46,0.03,0.12
-5.88,-6.50,-1.13,0.57,0.19,0.14
-5.05,-8.13,-0.29,0.88,0.40,0.12
-7.19,-10.00,0.21,0.43,-0.03,0.42
-7.64,-8.37,2.48,0.35,0.80,0.44
-9.56,-10.40,0.15,0.70,0.42,-0.39
-1.60,-4.29,2.58,-0.39,-1.54,-0.52
-13.68,-8.97,-0.09,-1.31,-0.16,-1.07
-6.98,-7.02,0.92,1.51,1.06,-0.46
-1.32,-10.34,-0.37,-0.14,1.29,-0.65
-5.30,-6.52,-1.32,-0.35,-0.88,-0.30
