accx,accy,accz,gyrox,gyroy,gyroz
-5.26,-7.52,-4.58,-0.22,-0.11,-0.08
-5.53,-6.76,-4.76,-0.15,-0.02,-0.06
-5.79,-6.56,-4.71,-0.02,-0.46,0.11
-4.55,-6.43,-4.56,0.41,0.01,-0.16
-4.93,-6.31,-4.36,0.27,-0.53,-0.16
-4.28,-5.91,-3.60,0.70,-0.06,-0.32
-2.61,-4.91,-2.53,0.53,-0.53,-0.23
-4.27,-6.40,-2.52,0.99,-0.77,-0.16
-4.58,-6.91,-2.25,0.77,-0.59,-0.37
-4.22,-5.94,-1.55,0.80,-0.59,-0.26
-2.92,-5.70,-0.55,0.83,-0.50,-0.20
-3.96,-7.55,-0.72,0.65,-0.73,-0.12
-5.38,-7.13,-0.60,0.47,0.04,-0.34
-4.48,-8.73,-0.17,0.29,-0.11,-0.14
-3.15,-7.76,0.54,0.30,-0.33,-0.25
-6.92,-8.84,0.70,-0.03,-0.26,-0.45
-4.99,-10.66,1.38,0.36,-0.07,-0.12
-6.06,-8.47,0.73,0.01,-0.02,-0.14
-3.75,-10.87,1.29,0.08,-0.19,0.20
-6.51,-10.19,1.15,-0.20,-0.31,0.05
-8.91,-12.07,0.26,-0.70,0.34,-0.21
-5.59,-10.51,1.29,-0.30,0.55,0.23
-7.49,-10.99,0.08,-0.56,0.28,0.03
-7.46,-14.42,-0.08,0.16,-0.16,0.11
-7.34,-13.99,0.41,-0.27,0.00,-0.21
-8.97,-12.01,-0.28,-0.30,-0.34,-0.09
-5.91,-10.56,0.73,0.15,-0.16,0.15
-6.84,-8.99,0.35,-0.31,-0.09,0.05
-5.87,-8.43,0.45,0.09,0.39,0.31
-5.12,-9.41,0.29,-0.01,0.49,0.33
-6.40,-9.89,-0.40,-0.30,0.68,0.27
-5.52,-8.87,-0.97,-0.41,0.50,0.24
-5.05,-8.47,-1.08,-0.27,0.53,0.27
-4.37,-5.53,-1.10,-0.83,0.65,-0.06
-4.73,-7.52,-1.39,-0.21,0.55,0.21
-4.50,-5.66,-1.76,-0.83,0.64,0.18
-3.27,-5.48,-1.76,-0.22,0.79,0.08
-2.60,-3.82,-1.71,-0.77,0.55,0.05
-2.89,-5.03,-2.75,-0.31,0.86,0.06
-3.64,-6.22,-3.52,-0.45,0.42,-0.04
-4.59,-7.68,-4.20,-0.01,0.46,0.00
-4.31,-7.40,-4.24,-0.49,0.32,-0.18
-4.60,-6.68,-4.59,-0.36,0.07,-0.02
-5.19,-7.74,-4.86,0.11,0.42,-0.15
-4.55,-7.77,-4.64,-0.24,-0.16,-0.04
-5.33,-6.69,-4.81,0.14,0.07,-0.02
-4.34,-8.53,-4.52,0.02,-0.09,0.09
-5.61,-6.51,-4.88,0.03,-0.13,0.03
-3.90,-7.66,-4.36,0.18,-0.15,-0.04
-4.85,-5.59,-4.22,0.24,-0.40,-0.07
-2.97,-6.51,-3.48,0.59,-0.41,-0.16
-5.57,-8.04,-2.95,0.26,-0.77,-0.12
-2.41,-3.78,-1.81,0.56,-0.35,-0.21
-4.39,-6.18,-2.15,0.77,-0.99,0.06
-2.83,-6.13,-1.34,0.90,-0.29,-0.15
-5.12,-6.73,-1.31,0.50,-0.81,-0.38
-3.79,-7.90,-0.93,0.88,-0.22,-0.33
