accx,accy,accz,gyrox,gyroy,gyroz
-3.28,-8.01,-4.90,0.39,0.16,-0.04
-3.59,-7.72,-5.14,0.38,0.31,-0.09
-3.21,-8.14,-4.84,0.46,0.45,-0.12
-3.28,-7.56,-5.05,0.52,0.60,-0.03
-2.89,-8.94,-5.00,0.58,0.56,0.01
-2.97,-9.66,-5.54,0.63,0.51,0.14
-2.14,-12.45,-5.96,0.42,0.15,0.43
-3.51,-13.50,-4.22,0.31,-0.39,0.54
-6.75,-13.83,-2.73,-0.69,0.51,-0.21
0.14,-6.45,-1.29,-1.07,0.34,-0.81
-5.96,-5.75,-2.26,-0.46,-0.23,-0.32
-3.51,-9.22,-2.46,0.61,0.94,-0.22
-3.33,-6.96,-3.16,-0.26,0.03,0.11
-2.39,-6.74,-3.21,0.59,1.21,0.00
-0.42,-8.67,-2.97,-0.05,0.17,0.03
-3.55,-7.30,-4.08,0.15,0.19,0.03
-2.51,-9.42,-3.69,0.40,0.19,0.11
-3.49,-9.48,-3.74,0.15,-0.23,0.08
-4.38,-9.44,-3.50,0.28,-0.18,-0.09
-5.54,-11.45,-3.99,0.13,0.14,-0.05
-6.16,-13.57,-5.42,-0.47,0.65,-0.04
-1.06,-10.56,-2.58,-0.15,-0.07,0.52
-1.31,-7.59,-2.22,-1.17,0.82,-1.11
-0.47,-9.60,-1.65,0.05,-0.56,0.02
-1.77,-8.38,-3.16,-0.59,-0.65,-0.08
-2.05,-6.91,-3.24,-0.42,-0.51,-0.07
-1.49,-6.72,-4.00,-0.18,-0.49,-0.05
-1.70,-7.00,-4.24,-0.08,-0.72,0.01
-2.77,-7.16,-4.44,0.23,-0.54,-0.05
-2.42,-8.82,-4.67,0.31,-0.18,-0.25
-2.08,-9.43,-4.57,0.12,-0.64,-0.16
-2.88,-9.16,-4.71,0.19,-0.57,-0.11
-2.94,-10.80,-4.37,0.23,-0.75,0.17
-3.85,-11.43,-5.63,-0.11,-0.52,0.20
-4.74,-14.48,-4.36,0.40,-0.32,0.39
-3.44,-13.32,-0.19,-1.67,0.25,-0.37
-6.43,-4.79,-0.59,-0.30,-0.90,0.30
-3.52,-7.81,-1.13,0.82,1.27,-0.12
-1.43,-9.92,-2.27,-0.63,0.42,-0.24
-4.85,-5.83,-3.50,-0.11,0.46,0.05
-1.05,-7.28,-2.71,0.09,0.38,0.05
-3.65,-5.94,-3.74,-0.01,0.21,-0.07
-3.17,-8.09,-3.51,0.55,0.59,0.04
-3.96,-8.94,-3.93,0.64,0.18,0.18
-3.90,-9.28,-4.00,0.82,0.65,0.09
-2.55,-11.28,-3.36,0.42,0.25,0.07
-5.43,-11.06,-3.92,-0.08,-0.10,0.01
-4.80,-13.52,-4.98,-0.82,0.36,-0.18
-3.44,-11.17,-2.28,-1.13,0.16,0.05
-3.47,-10.32,-2.07,-1.22,0.36,-0.43
-2.42,-7.31,-2.08,-0.53,0.06,0.08
-1.66,-8.02,-3.51,-0.32,0.53,-0.09
-1.08,-8.00,-3.80,-0.59,0.26,-0.10
-1.58,-6.25,-4.44,-0.37,0.06,-0.15
-1.37,-7.23,-4.49,0.02,0.03,-0.27
-1.36,-7.42,-4.82,0.18,-0.32,-0.11
-1.56,-7.63,-4.98,0.17,-0.42,-0.11
