accx,accy,accz,gyrox,gyroy,gyroz
-6.65,-6.24,-4.57,-0.72,-0.63,-0.16
-6.49,-5.60,-4.39,0.28,0.42,-0.22
-2.82,-6.15,-4.10,0.40,-0.33,-0.54
-4.49,-3.15,-3.98,0.41,0.09,-0.69
-1.84,-3.02,-2.18,1.33,-0.11,-0.62
-0.93,-4.73,-1.47,1.60,-0.40,-0.50
-4.40,-6.93,-1.37,1.35,-0.87,-0.41
-4.10,-8.98,-0.56,1.21,-0.73,-0.34
-5.12,-8.74,-0.36,1.03,-0.21,-0.30
-3.53,-7.56,0.52,0.57,-0.63,-0.11
-4.11,-8.38,0.96,0.91,-0.20,-0.13
-7.52,-10.15,0.56,0.20,-0.77,0.33
-6.66,-10.26,1.33,0.29,0.24,0.19
-4.36,-8.35,1.50,0.16,0.35,-0.02
-5.40,-8.45,1.08,0.07,0.48,0.01
-4.98,-9.41,1.30,0.04,0.63,-0.04
-5.23,-10.13,0.74,0.17,0.65,-0.03
-5.54,-11.74,1.71,-0.16,0.79,0.01
-9.15,-15.57,1.24,-0.94,0.06,0.01
-10.53,-17.97,0.62,0.54,-0.10,0.18
-8.42,-18.15,1.96,-1.41,0.24,-1.18
-11.86,-11.76,0.01,0.20,-0.41,-0.56
-3.04,-9.90,1.08,0.50,1.08,-0.79
-3.91,-7.57,-0.17,-0.76,0.28,-0.31
-4.19,-9.75,0.11,0.24,0.41,0.67
-2.94,-9.04,0.08,-0.70,-0.34,0.86
-3.73,-10.64,-0.19,-0.75,0.29,0.34
-3.16,-4.73,-0.17,-2.22,-0.77,-0.06
-5.37,-3.94,-1.84,-0.10,0.68,0.18
-1.66,-9.10,-0.69,-0.87,-0.39,0.30
-4.93,-2.98,-2.11,-0.90,0.35,0.08
-0.88,-7.35,-1.10,-0.68,0.39,0.27
-5.16,-4.44,-2.84,-0.93,0.31,0.19
-1.12,-6.47,-2.68,-0.46,0.50,0.45
-4.92,-6.24,-4.15,-0.85,-0.15,0.12
-5.04,-7.75,-4.30,0.05,0.28,0.47
-5.21,-8.32,-4.04,-0.89,0.08,0.21
-5.69,-4.99,-4.96,-0.31,0.36,0.15
-3.94,-7.98,-4.98,-0.00,0.17,-0.02
-6.22,-6.82,-4.99,-0.08,0.17,-0.05
-4.64,-6.42,-5.03,0.01,0.11,0.03
-5.73,-6.66,-5.23,0.17,0.14,0.00
-4.37,-7.17,-4.83,0.32,-0.06,-0.05
-5.78,-5.40,-5.00,0.13,-0.16,-0.11
-2.86,-5.16,-3.63,0.60,0.15,-0.16
-3.34,-4.40,-3.36,0.61,-0.25,-0.13
-2.16,-4.30,-2.35,0.99,-0.19,-0.01
-3.26,-4.27,-2.21,0.60,-0.62,-0.35
-3.59,-8.60,-1.96,0.94,-0.81,-0.09
-5.71,-7.59,-2.11,0.63,-0.80,-0.12
-3.72,-5.99,-1.51,0.26,-0.51,-0.33
-3.89,-9.40,-0.81,0.71,-0.49,-0.23
-6.48,-8.19,0.01,-0.10,-0.98,-0.29
-5.78,-9.41,0.18,0.48,-0.20,-0.00
-6.54,-8.67,0.10,0.18,-0.10,-0.03
-4.99,-10.00,0.68,0.17,0.06,0.10
-7.99,-10.69,0.40,-0.20,0.01,0.22
