accx,accy,accz,gyrox,gyroy,gyroz
-6.79,-6.11,-3.53,-0.07,-0.03,-0.04
-7.46,-5.69,-3.56,-0.09,-0.00,-0.04
-6.61,-5.63,-3.48,0.06,0.05,-0.06
-7.08,-5.60,-2.87,0.11,-0.08,-0.07
-6.60,-5.79,-3.24,0.26,-0.04,0.00
-6.39,-5.50,-2.89,0.40,-0.27,-0.09
-5.07,-4.31,-2.38,0.70,-0.16,-0.29
-2.85,-3.39,-1.72,0.65,0.04,-0.75
-2.95,-5.78,-0.82,1.42,-1.23,-0.20
-6.93,-9.21,-1.59,0.61,-1.56,-1.01
-9.04,-8.39,-1.02,0.33,-0.66,-1.05
-3.09,-4.75,-0.02,0.75,-0.84,-0.43
-4.04,-5.63,0.33,0.59,-0.80,-0.37
-3.50,-6.24,1.62,0.53,-0.77,-0.21
-3.83,-8.54,2.53,0.48,-0.98,-0.04
-6.96,-9.24,3.93,-0.32,-0.98,0.06
-7.86,-10.50,4.56,-0.13,-0.10,0.06
-7.88,-9.71,4.60,-0.32,-0.39,0.45
-5.81,-9.16,4.36,-0.30,0.23,0.30
-7.68,-8.59,4.04,-0.54,1.01,0.29
-8.40,-9.60,1.10,0.64,-0.98,0.47
-10.16,-14.39,1.14,-1.86,0.53,-0.81
-9.55,-2.40,-0.47,0.35,0.20,0.79
-2.52,-6.42,0.56,-0.16,1.48,0.56
-7.76,-7.39,-0.46,-0.85,0.36,0.39
-5.43,-8.02,-0.24,-0.23,0.70,0.18
-7.55,-5.38,-0.88,-0.72,-0.20,0.45
-5.55,-7.05,-0.24,0.05,0.45,0.21
-7.89,-6.20,-0.74,-0.32,-0.28,0.23
-6.69,-6.58,-0.49,-0.19,0.19,-0.04
-7.51,-6.06,-1.02,-0.09,0.25,0.05
-6.44,-6.63,-0.84,0.00,0.16,0.11
-6.74,-6.99,-0.88,-0.08,-0.06,0.05
-7.23,-6.48,-1.06,-0.14,-0.04,0.03
-6.84,-6.36,-0.67,-0.20,-0.01,-0.04
-7.14,-6.50,-0.74,-0.17,-0.05,-0.03
-7.16,-6.37,-0.78,-0.00,0.12,-0.02
-7.00,-6.73,-0.69,-0.08,-0.04,0.01
-7.02,-6.66,-0.70,0.03,0.12,-0.02
-6.96,-6.94,-0.74,0.02,0.00,-0.02
-7.03,-6.80,-0.80,-0.04,-0.04,-0.03
-6.93,-6.99,-0.61,-0.02,-0.00,-0.06
-7.10,-6.64,-0.63,-0.06,0.01,-0.02
-6.96,-6.88,-0.63,-0.07,-0.01,0.00
-7.12,-6.91,-0.62,-0.05,0.01,0.00
-6.91,-6.81,-0.69,-0.03,-0.04,-0.03
-7.20,-6.68,-0.69,-0.01,-0.01,-0.01
-7.06,-6.73,-0.73,-0.01,0.04,-0.02
-6.87,-6.83,-0.64,-0.01,0.04,-0.01
-6.79,-6.76,-0.58,-0.01,0.02,-0.03
-7.01,-6.68,-0.60,-0.05,-0.04,-0.04
-6.90,-6.89,-0.68,-0.03,0.01,-0.05
-6.94,-6.90,-0.64,0.04,0.01,0.03
-6.96,-6.91,-0.60,-0.00,-0.10,0.05
-6.82,-7.02,-0.41,0.06,0.06,0.00
-6.98,-6.52,-0.55,-0.02,-0.02,0.00
-6.64,-6.81,-0.49,0.00,0.02,-0.01
