accx,accy,accz,gyrox,gyroy,gyroz
-7.23,-7.54,-3.97,0.51,0.13,-0.02
-6.18,-8.73,-3.90,0.33,0.16,-0.34
-6.23,-6.33,-3.23,0.11,-0.14,0.08
-4.95,-7.64,-3.07,0.63,0.49,0.27
-4.82,-8.74,-3.24,0.01,0.04,0.12
-7.17,-7.74,-3.22,-0.04,-0.15,-0.06
-4.66,-7.23,-3.02,0.34,0.34,-0.36
-4.13,-8.04,-3.30,-0.14,-0.51,-0.24
-6.93,-6.74,-3.27,-0.36,-0.64,-0.13
-7.23,-8.85,-3.50,0.18,0.06,-0.34
-6.54,-12.01,-2.44,0.15,-0.68,-0.40
-8.71,-11.77,-1.16,-0.15,-0.53,-0.28
-2.32,-9.57,0.91,0.13,0.58,-0.26
-1.53,-9.09,-1.07,-0.63,-0.55,-0.10
-6.21,-10.58,-1.29,-0.80,-1.13,0.33
-6.59,-7.09,-2.47,-0.40,-0.05,-0.02
-1.68,-7.73,-2.28,-0.02,0.34,-0.29
-3.44,-7.95,-2.01,-0.48,-0.54,-0.12
-4.59,-6.57,-2.94,-0.05,-0.12,-0.02
-3.50,-8.00,-2.03,-0.15,-0.05,-0.15
-3.87,-7.38,-2.29,0.06,-0.27,0.14
-4.05,-7.44,-3.02,0.21,0.10,0.22
-4.48,-9.55,-3.04,0.28,0.28,0.44
-7.57,-10.70,-2.10,0.12,-0.12,0.65
-6.05,-11.07,-0.79,0.67,0.43,0.45
-6.39,-8.49,0.46,-0.41,0.19,0.25
-5.68,-7.72,0.30,0.49,0.65,0.40
-6.26,-8.55,0.13,-0.50,-0.21,0.41
-7.37,-6.70,-1.82,0.07,0.41,0.40
-5.70,-7.23,-2.16,0.02,0.32,-0.03
-5.75,-6.19,-2.39,-0.01,0.42,-0.19
-3.63,-4.90,-2.28,0.17,0.65,-0.09
-2.79,-6.36,-2.04,0.08,0.37,-0.08
-3.93,-6.27,-2.71,-0.04,-0.34,0.11
-6.02,-6.94,-2.36,0.25,-0.22,-0.03
-6.18,-8.41,-2.82,0.15,-0.74,-0.21
-8.67,-7.40,-2.64,-0.12,-0.58,-0.39
-7.46,-9.21,-0.99,0.71,0.14,-0.40
-6.34,-12.75,0.13,-0.02,-0.43,-0.43
-5.14,-9.01,1.30,0.03,0.40,-0.62
-2.92,-9.89,1.22,-0.22,-0.12,-0.26
-4.17,-9.97,0.33,-0.42,-0.23,-0.15
-4.34,-9.17,-0.39,-0.58,-0.43,-0.09
-4.87,-8.02,-1.30,-0.60,-0.36,-0.05
-3.78,-7.90,-1.14,-0.37,-0.01,-0.01
-3.75,-7.32,-1.60,-0.67,-0.26,0.06
-4.01,-6.49,-2.09,-0.26,-0.10,0.13
-3.88,-6.67,-2.52,-0.15,-0.15,0.06
-3.88,-7.04,-2.53,0.10,-0.15,0.11
-4.68,-7.85,-2.73,0.28,-0.10,0.10
-6.04,-9.48,-2.43,0.16,-0.00,0.22
-5.22,-9.75,-2.28,0.20,0.42,0.35
-5.36,-10.89,-2.40,-0.10,0.02,0.42
-8.06,-10.80,-2.28,-0.28,-0.27,0.48
-8.31,-10.80,-2.15,0.11,0.39,0.14
-5.20,-9.63,-0.11,-0.17,0.21,0.42
-6.42,-3.33,-0.87,-0.24,0.38,0.23
